KUNTANRO;KUNTANIMIFI;KUNTANIMISV;KUNTAMUOTO;KIELISYYS;VAALIPIIRINRO;VAALIPIIRIFI;VAALIPIIRISV;MAISTRAATTINRO;MAISTRAATTINIMIFI;MAISTRAATTINIMISV;PALVELUYKSIKKÖNRO;PALVELUYKSIKKÖFI;PALVELUYKSIKKÖSV;MAAKUNTANRO;MAAKUNTANIMIFI;MAAKUNTANIMISV
5;Alajärvi;Alajärvi;Kaupunki;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;119; Seinäjoen yksikkö; Enheten i Seinäjoki;13;Etelä-Pohjanmaa;Södra Österbotten
9;Alavieska;Alavieska;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;130; Ylivieskan yksikkö; Enheten i Ylivieska;16;Pohjois-Pohjanmaa;Norra Österbotten
10;Alavus;Alavus;Kaupunki;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;119; Seinäjoen yksikkö; Enheten i Seinäjoki;13;Etelä-Pohjanmaa;Södra Österbotten
16;Asikkala;Asikkala;Kunta;suomi;6;Hämeen vaalipiiri;Tavastlands valkrets;791;Hämeen maistraatti;Magistraten i Tavastland;723; Lahden yksikkö; Enheten i Lahtis;6;Päijät-Häme;Päijänne-Tavastland
18;Askola;Askola;Kunta;suomi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;324; Porvoon yksikkö; Enheten i Borgå;1;Uusimaa;Nyland
19;Aura;Aura;Kunta;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;108; Salon yksikkö; Enheten i Salo;2;Varsinais-Suomi;Egentliga Finland
20;Akaa;Akaa;Kaupunki;suomi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;114; Tampereen yksikkö; Enheten i Tammerfors;5;Pirkanmaa;Birkaland
35;Brändö;Brändö;Kunta;ruotsi;5;Ahvenanmaan maakunnan vaalipiiri;Landskapet Ålands valkrets;718;Statens ämbetsverk på Åland Magistratsavdelningen;Statens ämbetsverk på Åland Magistratsavdelningen;;0;0;19;Ahvenanmaa;Åland
43;Eckerö;Eckerö;Kunta;ruotsi;5;Ahvenanmaan maakunnan vaalipiiri;Landskapet Ålands valkrets;718;Statens ämbetsverk på Åland Magistratsavdelningen;Statens ämbetsverk på Åland Magistratsavdelningen;;0;0;19;Ahvenanmaa;Åland
46;Enonkoski;Enonkoski;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;124; Savonlinnan yksikkö; Enheten i Nyslott;9;Etelä-Savo;Södra Savolax
47;Enontekiö;Enontekis;Kunta;suomi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;759; Kittilän yksikkö; Enheten i Kittilä;18;Lappi;Lappland
49;Espoo;Esbo;Kaupunki;suomi - ruotsi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;314; Espoon yksikkö; Enheten i Esbo;1;Uusimaa;Nyland
50;Eura;Eura;Kunta;suomi;4;Satakunnan vaalipiiri;Satakunta valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;111; Rauman yksikkö; Enheten i Raumo;3;Satakunta;Satakunta
51;Eurajoki;Euraåminne;Kunta;suomi;4;Satakunnan vaalipiiri;Satakunta valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;111; Rauman yksikkö; Enheten i Raumo;3;Satakunta;Satakunta
52;Evijärvi;Evijärvi;Kunta;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;119; Seinäjoen yksikkö; Enheten i Seinäjoki;13;Etelä-Pohjanmaa;Södra Österbotten
60;Finström;Finström;Kunta;ruotsi;5;Ahvenanmaan maakunnan vaalipiiri;Landskapet Ålands valkrets;718;Statens ämbetsverk på Åland Magistratsavdelningen;Statens ämbetsverk på Åland Magistratsavdelningen;;0;0;19;Ahvenanmaa;Åland
61;Forssa;Forssa;Kaupunki;suomi;6;Hämeen vaalipiiri;Tavastlands valkrets;791;Hämeen maistraatti;Magistraten i Tavastland;722; Hämeenlinnan yksikkö; Enheten i Tavastehus;4;Kanta-Häme;Egentliga Tavastland
62;Föglö;Föglö;Kunta;ruotsi;5;Ahvenanmaan maakunnan vaalipiiri;Landskapet Ålands valkrets;718;Statens ämbetsverk på Åland Magistratsavdelningen;Statens ämbetsverk på Åland Magistratsavdelningen;;0;0;19;Ahvenanmaa;Åland
65;Geta;Geta;Kunta;ruotsi;5;Ahvenanmaan maakunnan vaalipiiri;Landskapet Ålands valkrets;718;Statens ämbetsverk på Åland Magistratsavdelningen;Statens ämbetsverk på Åland Magistratsavdelningen;;0;0;19;Ahvenanmaa;Åland
69;Haapajärvi;Haapajärvi;Kaupunki;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;130; Ylivieskan yksikkö; Enheten i Ylivieska;16;Pohjois-Pohjanmaa;Norra Österbotten
71;Haapavesi;Haapavesi;Kaupunki;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;130; Ylivieskan yksikkö; Enheten i Ylivieska;16;Pohjois-Pohjanmaa;Norra Österbotten
72;Hailuoto;Karlö;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;127; Oulun yksikkö; Enheten i Uleåborg;16;Pohjois-Pohjanmaa;Norra Österbotten
74;Halsua;Halsua;Kunta;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;745; Kokkolan yksikkö; Enheten i Karleby;15;Keski-Pohjanmaa;Mellersta Österbotten
75;Hamina;Fredrikshamn;Kaupunki;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;790;Kaakkois-Suomen maistraatti;Magistraten i Sydöstra Finland;106; Kotkan yksikkö; Enheten i Kotka;7;Kymenlaakso;Kymmenedalen
76;Hammarland;Hammarland;Kunta;ruotsi;5;Ahvenanmaan maakunnan vaalipiiri;Landskapet Ålands valkrets;718;Statens ämbetsverk på Åland Magistratsavdelningen;Statens ämbetsverk på Åland Magistratsavdelningen;;0;0;19;Ahvenanmaa;Åland
77;Hankasalmi;Hankasalmi;Kunta;suomi;11;Keski-Suomen vaalipiiri;Mellersta Finlands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;113; Jyväskylän yksikkö; Enheten i Jyväskylä;12;Keski-Suomi;Mellersta Finland
78;Hanko;Hangö;Kaupunki;suomi - ruotsi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;321; Raaseporin yksikkö; Enheten i Raseborg;1;Uusimaa;Nyland
79;Harjavalta;Harjavalta;Kaupunki;suomi;4;Satakunnan vaalipiiri;Satakunta valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;110; Porin yksikkö; Enheten i Björneborg;3;Satakunta;Satakunta
81;Hartola;Hartola;Kunta;suomi;6;Hämeen vaalipiiri;Tavastlands valkrets;791;Hämeen maistraatti;Magistraten i Tavastland;723; Lahden yksikkö; Enheten i Lahtis;6;Päijät-Häme;Päijänne-Tavastland
82;Hattula;Hattula;Kunta;suomi;6;Hämeen vaalipiiri;Tavastlands valkrets;791;Hämeen maistraatti;Magistraten i Tavastland;722; Hämeenlinnan yksikkö; Enheten i Tavastehus;4;Kanta-Häme;Egentliga Tavastland
86;Hausjärvi;Hausjärvi;Kunta;suomi;6;Hämeen vaalipiiri;Tavastlands valkrets;791;Hämeen maistraatti;Magistraten i Tavastland;722; Hämeenlinnan yksikkö; Enheten i Tavastehus;4;Kanta-Häme;Egentliga Tavastland
90;Heinävesi;Heinävesi;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;124; Savonlinnan yksikkö; Enheten i Nyslott;9;Etelä-Savo;Södra Savolax
91;Helsinki;Helsingfors;Kaupunki;suomi - ruotsi;1;Helsingin vaalipiiri;Helsingfors valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;302;Helsingin yksikkö; Enheten i Helsingfors;1;Uusimaa;Nyland
92;Vantaa;Vanda;Kaupunki;suomi - ruotsi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;302;Helsingin yksikkö; Enheten i Helsingfors;1;Uusimaa;Nyland
97;Hirvensalmi;Hirvensalmi;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;123; Mikkelin yksikkö; Enheten i S:t Michel;9;Etelä-Savo;Södra Savolax
98;Hollola;Hollola;Kunta;suomi;6;Hämeen vaalipiiri;Tavastlands valkrets;791;Hämeen maistraatti;Magistraten i Tavastland;723; Lahden yksikkö; Enheten i Lahtis;6;Päijät-Häme;Päijänne-Tavastland
99;Honkajoki;Honkajoki;Kunta;suomi;4;Satakunnan vaalipiiri;Satakunta valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;110; Porin yksikkö; Enheten i Björneborg;3;Satakunta;Satakunta
102;Huittinen;Huittinen;Kaupunki;suomi;4;Satakunnan vaalipiiri;Satakunta valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;110; Porin yksikkö; Enheten i Björneborg;3;Satakunta;Satakunta
103;Humppila;Humppila;Kunta;suomi;6;Hämeen vaalipiiri;Tavastlands valkrets;791;Hämeen maistraatti;Magistraten i Tavastland;722; Hämeenlinnan yksikkö; Enheten i Tavastehus;4;Kanta-Häme;Egentliga Tavastland
105;Hyrynsalmi;Hyrynsalmi;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;756; Kajaanin yksikkö; Enheten i Kajana;17;Kainuu;Kajanaland
106;Hyvinkää;Hyvinge;Kaupunki;suomi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;332; Hyvinkään yksikkö; Enheten i Hyvinge;1;Uusimaa;Nyland
108;Hämeenkyrö;Tavastkyro;Kunta;suomi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;114; Tampereen yksikkö; Enheten i Tammerfors;5;Pirkanmaa;Birkaland
109;Hämeenlinna;Tavastehus;Kaupunki;suomi;6;Hämeen vaalipiiri;Tavastlands valkrets;791;Hämeen maistraatti;Magistraten i Tavastland;722; Hämeenlinnan yksikkö; Enheten i Tavastehus;4;Kanta-Häme;Egentliga Tavastland
111;Heinola;Heinola;Kaupunki;suomi;6;Hämeen vaalipiiri;Tavastlands valkrets;791;Hämeen maistraatti;Magistraten i Tavastland;723; Lahden yksikkö; Enheten i Lahtis;6;Päijät-Häme;Päijänne-Tavastland
139;Ii;Ii;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;127; Oulun yksikkö; Enheten i Uleåborg;16;Pohjois-Pohjanmaa;Norra Österbotten
140;Iisalmi;Idensalmi;Kaupunki;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;121; Iisalmen yksikkö; Enheten i Idensalmi;10;Pohjois-Savo;Norra Savolax
142;Iitti;Iitti;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;790;Kaakkois-Suomen maistraatti;Magistraten i Sydöstra Finland;105; Kouvolan yksikkö; Enheten i Kouvola;7;Kymenlaakso;Kymmenedalen
143;Ikaalinen;Ikalis;Kaupunki;suomi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;114; Tampereen yksikkö; Enheten i Tammerfors;5;Pirkanmaa;Birkaland
145;Ilmajoki;Ilmajoki;Kunta;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;119; Seinäjoen yksikkö; Enheten i Seinäjoki;13;Etelä-Pohjanmaa;Södra Österbotten
146;Ilomantsi;Ilomants;Kunta;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;125; Joensuun yksikkö; Enheten i Joensuu;11;Pohjois-Karjala;Norra Karelen
148;Inari;Enare;Kunta;suomi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;759; Kittilän yksikkö; Enheten i Kittilä;18;Lappi;Lappland
149;Inkoo;Ingå;Kunta;ruotsi - suomi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;321; Raaseporin yksikkö; Enheten i Raseborg;1;Uusimaa;Nyland
151;Isojoki;Storå;Kunta;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;119; Seinäjoen yksikkö; Enheten i Seinäjoki;13;Etelä-Pohjanmaa;Södra Österbotten
152;Isokyrö;Storkyro;Kunta;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;116; Vaasan yksikkö; Enheten i Vasa;14;Pohjanmaa;Österbotten
153;Imatra;Imatra;Kaupunki;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;790;Kaakkois-Suomen maistraatti;Magistraten i Sydöstra Finland;104; Lappeenrannan yksikkö; Enheten i Villmanstrand;8;Etelä-Karjala;Södra Karelen
165;Janakkala;Janakkala;Kunta;suomi;6;Hämeen vaalipiiri;Tavastlands valkrets;791;Hämeen maistraatti;Magistraten i Tavastland;722; Hämeenlinnan yksikkö; Enheten i Tavastehus;4;Kanta-Häme;Egentliga Tavastland
167;Joensuu;Joensuu;Kaupunki;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;125; Joensuun yksikkö; Enheten i Joensuu;11;Pohjois-Karjala;Norra Karelen
169;Jokioinen;Jockis;Kunta;suomi;6;Hämeen vaalipiiri;Tavastlands valkrets;791;Hämeen maistraatti;Magistraten i Tavastland;722; Hämeenlinnan yksikkö; Enheten i Tavastehus;4;Kanta-Häme;Egentliga Tavastland
170;Jomala;Jomala;Kunta;ruotsi;5;Ahvenanmaan maakunnan vaalipiiri;Landskapet Ålands valkrets;718;Statens ämbetsverk på Åland Magistratsavdelningen;Statens ämbetsverk på Åland Magistratsavdelningen;;0;0;19;Ahvenanmaa;Åland
171;Joroinen;Jorois;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;124; Savonlinnan yksikkö; Enheten i Nyslott;9;Etelä-Savo;Södra Savolax
172;Joutsa;Joutsa;Kunta;suomi;11;Keski-Suomen vaalipiiri;Mellersta Finlands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;113; Jyväskylän yksikkö; Enheten i Jyväskylä;12;Keski-Suomi;Mellersta Finland
176;Juuka;Juuka;Kunta;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;125; Joensuun yksikkö; Enheten i Joensuu;11;Pohjois-Karjala;Norra Karelen
177;Juupajoki;Juupajoki;Kunta;suomi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;115; Mänttä-Vilppulan yksikkö; Enheten i Mänttä-Vilppula;5;Pirkanmaa;Birkaland
178;Juva;Juva;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;124; Savonlinnan yksikkö; Enheten i Nyslott;9;Etelä-Savo;Södra Savolax
179;Jyväskylä;Jyväskylä;Kaupunki;suomi;11;Keski-Suomen vaalipiiri;Mellersta Finlands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;113; Jyväskylän yksikkö; Enheten i Jyväskylä;12;Keski-Suomi;Mellersta Finland
181;Jämijärvi;Jämijärvi;Kunta;suomi;4;Satakunnan vaalipiiri;Satakunta valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;110; Porin yksikkö; Enheten i Björneborg;3;Satakunta;Satakunta
182;Jämsä;Jämsä;Kaupunki;suomi;11;Keski-Suomen vaalipiiri;Mellersta Finlands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;113; Jyväskylän yksikkö; Enheten i Jyväskylä;12;Keski-Suomi;Mellersta Finland
186;Järvenpää;Träskända;Kaupunki;suomi;2;Uudenmaan vaalipiiri;Nylands valkrets;797;Uudenmaan maistraatti;Magistraten i Nyland;332; Hyvinkään yksikkö; Enheten i Hyvinge;1;Uusimaa;Nyland
202;Kaarina;S:t Karins;Kaupunki;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;107; Turun yksikkö; Enheten i Åbo;2;Varsinais-Suomi;Egentliga Finland
204;Kaavi;Kaavi;Kunta;suomi;9;Savo-Karjalan vaalipiiri;Savolax-Karelens valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;120; Kuopion yksikkö; Enheten i Kuopio;10;Pohjois-Savo;Norra Savolax
205;Kajaani;Kajana;Kaupunki;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;756; Kajaanin yksikkö; Enheten i Kajana;17;Kainuu;Kajanaland
208;Kalajoki;Kalajoki;Kaupunki;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;130; Ylivieskan yksikkö; Enheten i Ylivieska;16;Pohjois-Pohjanmaa;Norra Österbotten
211;Kangasala;Kangasala;Kunta;suomi;7;Pirkanmaan vaalipiiri;Birkalands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;114; Tampereen yksikkö; Enheten i Tammerfors;5;Pirkanmaa;Birkaland
213;Kangasniemi;Kangasniemi;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;123; Mikkelin yksikkö; Enheten i S:t Michel;9;Etelä-Savo;Södra Savolax
214;Kankaanpää;Kankaanpää;Kaupunki;suomi;4;Satakunnan vaalipiiri;Satakunta valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;110; Porin yksikkö; Enheten i Björneborg;3;Satakunta;Satakunta
216;Kannonkoski;Kannonkoski;Kunta;suomi;11;Keski-Suomen vaalipiiri;Mellersta Finlands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;113; Jyväskylän yksikkö; Enheten i Jyväskylä;12;Keski-Suomi;Mellersta Finland
217;Kannus;Kannus;Kaupunki;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;745; Kokkolan yksikkö; Enheten i Karleby;15;Keski-Pohjanmaa;Mellersta Österbotten
